hours_relax_per_day,mental_health,hours_worked_per_week,degree,marijuana
12,0,40,HIGH SCHOOL,NOT LEGAL
3,0,46,JUNIOR COLLEGE,NOT LEGAL
0,3,40,HIGH SCHOOL,NOT LEGAL
6,0,70,HIGH SCHOOL,NOT LEGAL
1,2,40,HIGH SCHOOL,NOT LEGAL
3,0,32,LESS THAN HIGH SCHOOL,NOT LEGAL
4,0,30,HIGH SCHOOL,NOT LEGAL
2,5,48,HIGH SCHOOL,NOT LEGAL
3,2,36,HIGH SCHOOL,NOT LEGAL
6,0,32,HIGH SCHOOL,LEGAL
2,1,67,LESS THAN HIGH SCHOOL,LEGAL
1,10,40,JUNIOR COLLEGE,NOT LEGAL
3,0,40,BACHELOR,NOT LEGAL
1,15,47,HIGH SCHOOL,NOT LEGAL
0,0,39,LESS THAN HIGH SCHOOL,NOT LEGAL
12,0,15,HIGH SCHOOL,NOT LEGAL
4,0,43,HIGH SCHOOL,LEGAL
5,0,50,BACHELOR,LEGAL
6,2,30,HIGH SCHOOL,LEGAL
2,0,50,HIGH SCHOOL,LEGAL
2,3,40,GRADUATE,LEGAL
5,3,40,BACHELOR,NOT LEGAL
6,1,40,BACHELOR,NOT LEGAL
3,0,50,HIGH SCHOOL,NOT LEGAL
1,0,40,HIGH SCHOOL,NOT LEGAL
6,0,28,HIGH SCHOOL,LEGAL
2,3,40,HIGH SCHOOL,LEGAL
1,0,50,HIGH SCHOOL,NOT LEGAL
5,0,40,BACHELOR,NOT LEGAL
5,0,49,HIGH SCHOOL,NOT LEGAL
5,7,48,HIGH SCHOOL,LEGAL
0,0,42,HIGH SCHOOL,NOT LEGAL
3,4,35,HIGH SCHOOL,NOT LEGAL
0,0,40,HIGH SCHOOL,NOT LEGAL
3,4,80,HIGH SCHOOL,NOT LEGAL
4,0,56,LESS THAN HIGH SCHOOL,NOT LEGAL
3,2,30,HIGH SCHOOL,NOT LEGAL
5,0,40,JUNIOR COLLEGE,LEGAL
9,0,40,HIGH SCHOOL,NOT LEGAL
2,3,36,LESS THAN HIGH SCHOOL,LEGAL
3,0,40,GRADUATE,NOT LEGAL
3,0,70,LESS THAN HIGH SCHOOL,LEGAL
6,0,37,JUNIOR COLLEGE,NOT LEGAL
0,0,20,JUNIOR COLLEGE,NOT LEGAL
1,0,80,JUNIOR COLLEGE,NOT LEGAL
4,1,40,HIGH SCHOOL,LEGAL
4,0,56,HIGH SCHOOL,NOT LEGAL
1,0,45,JUNIOR COLLEGE,NOT LEGAL
4,0,55,LESS THAN HIGH SCHOOL,NOT LEGAL
5,0,50,BACHELOR,LEGAL
10,0,12,HIGH SCHOOL,LEGAL
3,2,10,HIGH SCHOOL,NOT LEGAL
2,4,52,LESS THAN HIGH SCHOOL,LEGAL
4,0,80,HIGH SCHOOL,NOT LEGAL
8,0,55,GRADUATE,NOT LEGAL
10,30,70,LESS THAN HIGH SCHOOL,LEGAL
8,0,40,HIGH SCHOOL,LEGAL
3,5,40,HIGH SCHOOL,LEGAL
0,0,40,JUNIOR COLLEGE,NOT LEGAL
8,0,9,HIGH SCHOOL,LEGAL
2,15,45,GRADUATE,NOT LEGAL
2,0,24,HIGH SCHOOL,LEGAL
2,0,36,JUNIOR COLLEGE,NOT LEGAL
4,0,30,HIGH SCHOOL,NOT LEGAL
4,0,70,BACHELOR,LEGAL
4,0,4,LESS THAN HIGH SCHOOL,NOT LEGAL
0,0,70,LESS THAN HIGH SCHOOL,NOT LEGAL
0,0,52,HIGH SCHOOL,NOT LEGAL
3,0,37,HIGH SCHOOL,NOT LEGAL
3,5,60,JUNIOR COLLEGE,NOT LEGAL
2,3,45,HIGH SCHOOL,LEGAL
2,0,40,GRADUATE,NOT LEGAL
4,0,40,HIGH SCHOOL,LEGAL
6,2,9,LESS THAN HIGH SCHOOL,LEGAL
4,0,45,HIGH SCHOOL,LEGAL
3,15,50,HIGH SCHOOL,NOT LEGAL
2,1,55,LESS THAN HIGH SCHOOL,NOT LEGAL
4,0,50,HIGH SCHOOL,NOT LEGAL
6,10,20,HIGH SCHOOL,NOT LEGAL
3,0,60,JUNIOR COLLEGE,NOT LEGAL
5,0,35,HIGH SCHOOL,LEGAL
4,0,50,BACHELOR,LEGAL
12,0,84,HIGH SCHOOL,LEGAL
1,4,16,BACHELOR,NOT LEGAL
2,0,60,HIGH SCHOOL,LEGAL
4,26,60,HIGH SCHOOL,LEGAL
6,0,40,BACHELOR,NOT LEGAL
6,2,40,HIGH SCHOOL,NOT LEGAL
3,1,40,BACHELOR,LEGAL
6,2,40,GRADUATE,LEGAL
4,0,40,HIGH SCHOOL,NOT LEGAL
4,3,40,LESS THAN HIGH SCHOOL,NOT LEGAL
2,15,35,HIGH SCHOOL,NOT LEGAL
6,5,16,BACHELOR,LEGAL
4,5,50,LESS THAN HIGH SCHOOL,NOT LEGAL
5,0,10,BACHELOR,LEGAL
5,2,40,HIGH SCHOOL,NOT LEGAL
6,0,38,LESS THAN HIGH SCHOOL,NOT LEGAL
3,0,40,HIGH SCHOOL,LEGAL
5,1,49,BACHELOR,LEGAL
6,0,40,HIGH SCHOOL,LEGAL
